year,from,to,pop
2022,新竹市,嘉義縣,805
2022,新竹市,基隆市,1103
2022,新竹市,宜蘭縣,1006
2022,新竹市,屏東縣,1178
2022,新竹市,彰化縣,2120
2022,新竹市,新北市,19203
2022,新竹市,新竹市,255891
2022,新竹市,新竹縣,132938
2022,新竹市,桃園市,21745
2022,新竹市,澎湖縣,342
2022,新竹市,臺中市,11774
2022,新竹市,臺北市,20074
2022,新竹市,臺南市,4219
2022,新竹市,臺東縣,465
2022,新竹市,花蓮縣,935
2022,新竹市,苗栗縣,27516
2022,新竹市,連江縣,102
2022,新竹市,金門縣,967
2022,新竹市,雲林縣,1262
2022,新竹市,高雄市,5115
2022,新竹縣,南投縣,1316
2022,新竹縣,嘉義市,474
2022,新竹縣,嘉義縣,832
2022,新竹縣,基隆市,2004
2022,新竹縣,宜蘭縣,1197
2022,新竹縣,屏東縣,1681
2022,新竹縣,彰化縣,2063
2022,新竹縣,新北市,37263
2022,新竹縣,新竹市,33948
2022,新竹縣,新竹縣,246757
2022,新竹縣,桃園市,65691
2022,新竹縣,澎湖縣,268
2022,新竹縣,臺中市,10673
2022,新竹縣,臺北市,25132
2022,新竹縣,臺南市,3239
2022,新竹縣,臺東縣,928
2022,新竹縣,花蓮縣,1818
2022,新竹縣,苗栗縣,11620
2022,新竹縣,連江縣,109
2022,新竹縣,金門縣,820
2022,新竹縣,雲林縣,1118
2022,新竹縣,高雄市,5606
2022,桃園市,南投縣,3820
2022,桃園市,嘉義市,2006
2022,桃園市,嘉義縣,4002
2022,桃園市,基隆市,5365
2022,桃園市,宜蘭縣,5930
2022,桃園市,屏東縣,5576
2022,桃園市,彰化縣,6956
2022,桃園市,新北市,156111
2022,桃園市,新竹市,13877
2022,桃園市,新竹縣,37785
2022,桃園市,桃園市,1212061
2022,桃園市,澎湖縣,1629
2022,桃園市,臺中市,27904
2022,桃園市,臺北市,60954
2022,桃園市,臺南市,11285
2022,桃園市,臺東縣,4297
2022,桃園市,花蓮縣,6653
2022,桃園市,苗栗縣,11252
2022,桃園市,連江縣,1518
2022,桃園市,金門縣,7088
2022,桃園市,雲林縣,6177
2022,桃園市,高雄市,16630
2022,澎湖縣,南投縣,380
2022,澎湖縣,嘉義市,370
2022,澎湖縣,嘉義縣,519
2022,澎湖縣,基隆市,583
2022,澎湖縣,宜蘭縣,696
2022,澎湖縣,屏東縣,1502
2022,澎湖縣,彰化縣,928
2022,澎湖縣,新北市,7936
2022,澎湖縣,新竹市,723
2022,澎湖縣,新竹縣,588
2022,澎湖縣,桃園市,4639
2022,澎湖縣,澎湖縣,72415
2022,澎湖縣,臺中市,5337
2022,澎湖縣,臺北市,5302
2022,澎湖縣,臺南市,6092
2022,澎湖縣,臺東縣,221
2022,澎湖縣,花蓮縣,338
2022,澎湖縣,苗栗縣,349
2022,澎湖縣,連江縣,22
2022,澎湖縣,金門縣,267
2022,澎湖縣,雲林縣,460
2022,澎湖縣,高雄市,31676
2022,臺中市,南投縣,49750
2022,臺中市,嘉義市,4938
2022,臺中市,嘉義縣,8259
2022,臺中市,基隆市,6237
2022,臺中市,宜蘭縣,4233
2022,臺中市,屏東縣,9819
2022,臺中市,彰化縣,55747
2022,臺中市,新北市,91993
2022,臺中市,新竹市,14220
2022,臺中市,新竹縣,15785
2022,臺中市,桃園市,52092
2022,臺中市,澎湖縣,2995
2022,臺中市,臺中市,1880330
2022,臺中市,臺北市,71935
2022,臺中市,臺南市,24554
2022,臺中市,臺東縣,5114
2022,臺中市,花蓮縣,5871
2022,臺中市,苗栗縣,43892
2022,臺中市,連江縣,594
2022,臺中市,金門縣,6036
2022,臺中市,雲林縣,19406
2022,臺中市,高雄市,36270
2022,臺北市,南投縣,7567
2022,臺北市,嘉義市,5609
2022,臺北市,嘉義縣,7368
2022,臺北市,基隆市,36697
2022,臺北市,宜蘭縣,21270
2022,臺北市,屏東縣,8359
2022,臺北市,彰化縣,15206
2022,臺北市,新北市,1026534
2022,臺北市,新竹市,24388
2022,臺北市,新竹縣,26081
2022,臺北市,桃園市,188131
2022,臺北市,澎湖縣,2774
2022,臺北市,臺中市,76531
2022,臺北市,臺北市,1379400
2022,臺北市,臺南市,28613
2022,臺北市,臺東縣,4947
2022,臺北市,花蓮縣,10900
2022,臺北市,苗栗縣,12456
2022,臺北市,連江縣,1563
2022,臺北市,金門縣,11408
2022,臺北市,雲林縣,12434
2022,臺北市,高雄市,45060
2022,臺南市,南投縣,5236
2022,臺南市,嘉義市,10981
2022,臺南市,嘉義縣,24827
2022,臺南市,基隆市,3995
2022,臺南市,宜蘭縣,3180
2022,臺南市,屏東縣,16380
2022,臺南市,彰化縣,12721
2022,臺南市,新北市,98840
2022,臺南市,新竹市,10004
2022,臺南市,新竹縣,9712
2022,臺南市,桃園市,47179
2022,臺南市,澎湖縣,3730
2022,臺南市,臺中市,57385
2022,臺南市,臺北市,71135
2022,臺南市,臺南市,1441664
